status,result_status,protocol_hash,specification_hash,threshold_hash,run_id,outer_fold,pm,target_id,condition,lag_seconds,q_low,q_high,n_train,n_test,n_test_participants,training_time_seconds,participant_macro_balanced_accuracy,participant_valid_balanced_accuracy,participant_macro_f1,participant_valid_f1,participant_macro_roc_auc,participant_valid_roc_auc,participant_macro_pr_auc,participant_valid_pr_auc,participant_macro_low_recall,participant_valid_low_recall,participant_macro_high_recall,participant_valid_high_recall,participant_macro_precision,participant_valid_precision,participant_macro_accuracy,participant_valid_accuracy,model,estimator,model_params_hash
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,b3ff10d8fa31233bdec9d37dbf6b909b353a608495d83e16f70ddaf0f5409218,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,fold_01__attention__low_high__b3ff10d8fa31,1,attention,target_attention,lag_minus_10s,-10,0.4064083333333333,0.5057536666666667,15241,4275,11,4.249557900009677,0.717536152756545,11,0.6708424050651906,11,0.8534022944202992,11,0.8636367735875777,11,0.733533942642648,11,0.7015383628704421,11,0.7438746115683206,11,0.6887244419737232,11,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,c284173fb0416d9551c9c52049b6d177b9bf90904cf2698a0fe114f4e1fc8a02,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,fold_01__engagement__low_high__c284173fb041,1,engagement,target_engagement,lag_minus_10s,-10,0.5800476666666666,0.6855443333333333,15934,4556,11,4.26743819998228,0.7252264469797326,11,0.727760973963512,11,0.8433571930955778,11,0.8375064988327139,11,0.7348321556702003,11,0.715620738289265,11,0.7775935488980665,11,0.7689034943090121,11,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,17e0284902f2c93083b6984a8385075db4d55246475b3a01525df7541649b8d0,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,fold_01__excitement__low_high__17e0284902f2,1,excitement,target_excitement,lag_minus_10s,-10,0.198928,0.3627136666666666,15941,4710,11,3.6743762999831233,0.8320831997677488,11,0.7904236773064427,11,0.9473308059907432,11,0.9302694189051944,11,0.7643251383834716,11,0.8998412611520265,11,0.8121791285768178,11,0.8247359623818863,11,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,a3ec652599bf61ac3397ff0413626301acdbeb814a746fc1e16d08e4e3a81b7b,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,fold_01__focus__low_high__a3ec652599bf,1,focus,target_focus,lag_minus_10s,-10,0.368801,0.4654386666666666,15934,4745,11,4.173382700013463,0.7005744703340785,11,0.6257932197614262,11,0.8020551055706965,11,0.7540212909972912,11,0.641015456370732,11,0.7601334842974249,11,0.6794981175526911,11,0.6899402581819316,11,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,6ac44cd38f8f7068950f290eceeee1a565879e110125898f92348a448c6531ae,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,fold_01__interest__low_high__6ac44cd38f8f,1,interest,target_interest,lag_minus_10s,-10,0.480751,0.5305233333333333,15927,4692,11,4.001080800022464,0.6780051306124927,11,0.6438107174311395,11,0.796234161960755,11,0.7641395212028244,11,0.6897263360371827,11,0.6662839251878028,11,0.7347637004856167,11,0.668727300009543,11,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,61e125142f4b4cd5d284d4b4a355dffe33df3b401270114c76f9f3c0aaf27b1d,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,fold_01__relaxation__low_high__61e125142f4b,1,relaxation,target_relaxation,lag_minus_10s,-10,0.2566239999999999,0.3923079999999999,15947,4860,11,4.030549099989003,0.7396412613633704,11,0.7191591822706692,11,0.9117308138200518,11,0.918859437960747,11,0.641627785755031,11,0.8376547369717099,11,0.8379762893842126,11,0.7837943938494246,11,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,9b0756711fe948a3e6392e555d42f2295684f2d7d0a77d1a1f73dfda352e78bf,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,fold_01__stress__low_high__9b0756711fe9,1,stress,target_stress,lag_minus_10s,-10,0.4029856666666667,0.461275,15924,4905,11,3.9877641999919433,0.6880323670761403,11,0.6491124125436422,11,0.8273677425553564,11,0.8042986100365521,11,0.6638751647919134,11,0.7121895693603675,11,0.7307999477524962,11,0.6815754654459105,11,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,729e0e78d3f09ee42f16977af57079abc2f95d3f86ad1866c9bf930ad3e886d2,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,fold_02__attention__low_high__729e0e78d3f0,2,attention,target_attention,lag_minus_10s,-10,0.409755,0.5089703333333333,15830,3758,10,4.136980799987214,0.704032855386117,10,0.6709189388421669,10,0.8569934985698786,10,0.8401398738261087,10,0.6552145657577132,10,0.7528511450145209,10,0.7796711372779529,10,0.7239243145861971,10,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,1a246c8b53f357dfd99e0fe9338bb345366900f9514d4f7772db13cc884552a4,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,fold_02__engagement__low_high__1a246c8b53f3,2,engagement,target_engagement,lag_minus_10s,-10,0.572122,0.682083,16404,3812,10,4.170316500007175,0.7538314799435291,10,0.7486317879123053,10,0.8691618931693877,10,0.9224861265647948,10,0.6999958644209889,10,0.8076670954660694,10,0.7883615510335497,10,0.8010588429152907,10,xgboost,,
complete,confirmatory,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431,149429db7a0ac8a20273407ae7c23e8f3a149d02792ca9ba43fc661303017d23,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,fold_02__excitement__low_high__149429db7a0a,2,excitement,target_excitement,lag_minus_10s,-10,0.194812,0.357134,16414,4099,11,3.783397699997295,0.8812448791064825,11,0.7998942119160639,11,0.9543962628478136,10,0.9457752834366374,10,0.8804571816971215,11,0.8702358341674279,10,0.8023564687531569,11,0.8722983647745955,11,xgboost,,
