condition,estimator,lag_seconds,model,model_params_hash,n_test,n_test_participants,n_train,outer_fold,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_f1,participant_macro_high_recall,participant_macro_low_recall,participant_macro_pr_auc,participant_macro_precision,participant_macro_roc_auc,participant_valid_accuracy,participant_valid_balanced_accuracy,participant_valid_f1,participant_valid_high_recall,participant_valid_low_recall,participant_valid_pr_auc,participant_valid_precision,participant_valid_roc_auc,pm,protocol_hash,q_high,q_low,result_status,run_id,specification_hash,status,target_id,threshold_hash,training_time_seconds
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,4275,11,15241,1,0.6761201661314086,0.7100522184760464,0.6536568171635482,0.6287006435783362,0.7914037933737568,0.8350753593028827,0.7475099219440658,0.8329243072551263,11,11,11,11,11,11,11,11,attention,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.5057536666666667,0.40640833333333337,confirmatory,random_forest__fold_01__attention__low_high__65f655b9d2a4,65f655b9d2a47f57817f9ac40baa98385cf3096ccadc659197ce81368b1f0b86,complete,target_attention,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,2.6231797999935225
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,4556,11,15934,1,0.7608943645334197,0.7202373182810496,0.7190987079971577,0.7861713552693314,0.6543032812927678,0.8369056806373041,0.7661575453163079,0.8432459339312769,11,11,11,11,11,11,11,11,engagement,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.6855443333333333,0.5800476666666666,confirmatory,random_forest__fold_01__engagement__low_high__00ba28c314d4,00ba28c314d458397cc07aefdd89eb2739105e3cf0072ea71934bbc2e09c1634,complete,target_engagement,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,2.7333270000235643
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,4710,11,15941,1,0.8276027277128981,0.8305183324234581,0.7918833740608094,0.9104384508598504,0.7505982139870659,0.9265352104071094,0.8183919662015033,0.9549661005757945,11,11,11,11,11,11,11,11,excitement,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.3627136666666666,0.198928,confirmatory,random_forest__fold_01__excitement__low_high__6b6a427f81c6,6b6a427f81c6708c264ad87e2982efa75a33f001ad5d5c0a0c1af85bb0871772,complete,target_excitement,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,3.0528999000089243
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,4905,11,15924,1,0.7022413755158134,0.711732930512823,0.6717680709256103,0.7511952946840492,0.6722705663415968,0.8261864910928786,0.7529432151792563,0.8578009836717396,11,11,11,11,11,11,11,11,stress,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.461275,0.4029856666666667,confirmatory,random_forest__fold_01__stress__low_high__a5e442d41dbe,a5e442d41dbeb5caa21be88ad785c6c25c04ad3abede8e0a9564668c0587fcb1,complete,target_stress,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,2.783634399995208
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,4860,11,15947,1,0.7725362457704308,0.7293734897763655,0.7064206038760408,0.8359623494584089,0.622784630094322,0.8911862124976415,0.8269410376977168,0.8949747564506225,11,11,11,11,11,11,11,11,relaxation,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.39230799999999993,0.25662399999999996,confirmatory,random_forest__fold_01__relaxation__low_high__ecfed2a6a6f4,ecfed2a6a6f476d78a8d540e8c0e5eafa5e6fa23d48826835f98e75ae3d29f03,complete,target_relaxation,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,2.891083599999547
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,4692,11,15927,1,0.6836915916250246,0.7094902951034529,0.6605790042434592,0.7408330058272997,0.6781475843796063,0.7821226529203322,0.7606309784239941,0.8092452234644579,11,11,11,11,11,11,11,11,interest,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.5305233333333333,0.480751,confirmatory,random_forest__fold_01__interest__low_high__bb4a476f3772,bb4a476f37723f9d857c715c79831aafb42c95edda53cddd18156caf649b85b0,complete,target_interest,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,2.76546719999169
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,4745,11,15934,1,0.7191215702186462,0.7368202481120314,0.6583554733630037,0.7742158440083763,0.6994246522156863,0.7089754319078453,0.6931898118745249,0.8161343533624911,11,11,11,11,11,11,11,11,focus,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.4654386666666666,0.368801,confirmatory,random_forest__fold_01__focus__low_high__350d08c6221a,350d08c6221aa350aac9f192887c61cbfd00c2031aa04a2dc28fc72a592c0af8,complete,target_focus,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,2.6825140999862924
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,3758,10,15830,2,0.6876611037659357,0.6830510240269538,0.6281334214756717,0.7662831892859099,0.5998188587679977,0.7772438227930364,0.7639482393261876,0.8086765668275196,10,10,10,10,10,10,10,10,attention,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.5089703333333333,0.409755,confirmatory,random_forest__fold_02__attention__low_high__4bc38f438dcb,4bc38f438dcb5328dc9f112c6532f43eb5d253d0ec27440a8393ef3156ff5fc2,complete,target_attention,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,2.6896510000224225
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,3812,10,16404,2,0.7958035320201384,0.7263532861961463,0.7253796189914322,0.8297291741042123,0.6229773982880802,0.9001530266767952,0.7801144997904803,0.8393055892438213,10,10,10,10,10,10,10,10,engagement,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.682083,0.572122,confirmatory,random_forest__fold_02__engagement__low_high__68cdc8ef48bf,68cdc8ef48bfe7e6b8d02ae318b2432795e56f84f72d1e6adf432b28ecbd69fd,complete,target_engagement,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,2.7778498000116087
lag_minus_10s,RandomForestClassifier,-10,random_forest,10764a881b0350bcd7d69a9dfe40e64dbe28c03e5649c47c6247d17314de711c,4099,11,16414,2,0.7715049361951688,0.7770560692322532,0.7446735573147459,0.8421824705923999,0.7884917106532338,0.9369891008865749,0.7500378147493756,0.9394523374401459,11,11,11,10,11,10,11,10,excitement,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e,0.357134,0.194812,confirmatory,random_forest__fold_02__excitement__low_high__08cfde3e2b3e,08cfde3e2b3ea3a6ee9ff40c6ac47a61e714167f3e69de292705bae0af8fc5c6,complete,target_excitement,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,3.279625800001668
